"Overlay","File","SizeBytes","Sha256"
"r3-x64-off","Microsoft.Extensions.DependencyInjection.Abstractions.xml","223851","1C1704E8DC6BB991C9E8E88C311FB680402CCEF3501D5BAC1A0478EC3FBDBA83"
"r3-x64-off","Microsoft.Extensions.DependencyInjection.dll","213504","C5D45F1AECE691C08A567951DACFAADBD14BDC5C0341DF1625FDB4A5D804F888"
"r3-x64-off","Microsoft.Extensions.Diagnostics.Abstractions.dll","17920","FCFEA596FE63ABAEF144F94C231489069C73E45E169BD2E5A0AD969DBD6F40E7"
"r3-x64-off","Microsoft.Extensions.Diagnostics.Abstractions.xml","49415","CC0797F4B1F9873D0DD8956546827F6CABA263E32E8508730D9BA9CF86041286"
"r3-x64-off","Microsoft.Extensions.Diagnostics.dll","70656","F32D211D5F8F9F77A0B021D6B0F66288DB26B2EA362C9F57E11AE2EC7F8DED97"
"r3-x64-off","Microsoft.Extensions.Diagnostics.HealthChecks.Abstractions.dll","19968","513937DE91855200F9A8F2E14B2CD8C6E9106EC9DAF3A0B6E91586062CC854E1"
"r3-x64-off","Microsoft.Extensions.Diagnostics.HealthChecks.dll","91136","5BACDE62E51C50BE2F14BC8409AD97D71F77D0AC4D23742452D2A4558C48D553"
"r3-x64-off","Microsoft.Extensions.Features.dll","24576","8555E8329D6186B84F8AAC21B887E6CF6C804A3679E88F7A8B736403968AEB65"
"r3-x64-off","Microsoft.Extensions.FileProviders.Abstractions.dll","11776","6C6A6974AFE4ED7717A79EA034C9435C2E37BFBA1CC6011B5D91F069A2C420C5"
"r3-x64-off","Microsoft.Extensions.FileProviders.Abstractions.xml","11148","A020ECF6B78BEA9C527325E8076EC57F9774F629C147F75B2F710CF4C0B6998B"
"r3-x64-off","Microsoft.Extensions.FileProviders.Composite.dll","12800","C3A9B6A3408A4866D87B84BF08D7763863FE879B9AFEC2E3D468F259BC49D691"
"r3-x64-off","Microsoft.Extensions.FileProviders.Embedded.dll","50176","1EF08EFA7761532A8AFCCB83AE1289D0C72D7E146A1DE73CA9A57322E746FB5B"
"r3-x64-off","Microsoft.Extensions.FileProviders.Physical.dll","89088","2FF85A52E8D3F81ACB9509D5B043A3D67F6ECFA2B228033E23033248FA279CA6"
"r3-x64-off","Microsoft.Extensions.FileSystemGlobbing.dll","83968","2E34A4159731BEC8DEF9787ECAFD1B6CA9647D4F10EDC6C53E1824B02454ACD1"
"r3-x64-off","Microsoft.Extensions.Hosting.Abstractions.dll","22016","32A485ADD57457A1F0C6EDD72A2BCD9A7E89B4DEAE0909038DB841E288CEBA64"
